Statistic,Fuel Type,UNIT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Primary Energy Production (ktoe),Sum of all indigenous production,ktoe,3471,3291,3086,3456,3565,4105,3544,2857,2463,2462,2161,1776,1546,1837,1880,1702,1686,1435,1573,1464,1855,1723,1292,2327,2054,1963,4244,4888,5048,4161,3564,3043,3153
Primary Energy Production (ktoe),Sum of all coal products,ktoe,16,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Energy Production (ktoe),Sum of all peat products,ktoe,1411,1200,1021,1134,1192,1697,1203,766,822,1135,965,883,606,1056,906,845,826,643,660,578,1011,774,321,1327,982,769,679,744,816,391,128,128,128
Primary Energy Production (ktoe),Natural gas,ktoe,1877,1923,1902,2161,2198,2253,2172,1910,1410,1106,960,660,679,545,690,488,432,322,368,255,237,197,181,164,132,113,2493,2854,2752,2147,1654,1258,1165
Primary Energy Production (ktoe),Sum of all renewable energies,ktoe,168,168,162,161,174,155,169,181,231,222,235,234,261,236,284,370,428,469,544,618,597,738,745,775,874,1013,1005,1177,1335,1478,1635,1514,1712
Primary Energy Production (ktoe),Hydro,ktoe,60,64,70,66,79,61,62,58,79,73,73,51,78,51,54,54,62,57,83,78,52,61,69,52,61,69,59,59,60,76,80,64,60
Primary Energy Production (ktoe),Wind,ktoe,,,0,1,2,1,1,4,15,16,21,29,33,39,56,96,139,168,207,254,242,377,345,391,442,565,529,640,743,862,993,841,964
Primary Energy Production (ktoe),Biomass,ktoe,105,101,89,90,91,89,95,92,112,105,113,125,125,119,141,180,181,170,163,182,197,193,222,232,262,260,293,341,389,374,369,376,403
Primary Energy Production (ktoe),Landfill gas,ktoe,,,,,,,7,22,21,23,24,24,19,16,20,25,25,36,39,42,44,44,43,38,39,42,40,39,34,32,29,29,26
Primary Energy Production (ktoe),Biogas,ktoe,2,3,3,4,2,3,4,4,4,4,4,4,4,9,10,9,10,10,10,13,14,14,13,11,13,14,16,16,17,19,21,23,28
Primary Energy Production (ktoe),Liquid Biofuel,ktoe,,,,,,,,,,,,,,,,1,3,15,24,29,26,24,24,22,23,24,24,28,34,46,57,81,104
Primary Energy Production (ktoe),Solar,ktoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,9,9,10,11,12,13,13,15,17,19,21,27
Primary Energy Production (ktoe),Geothermal,ktoe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,10,13,14,16,17,19,20,23,27,32,39,44,54,66,79,100
Primary Energy Production (ktoe),Non renewable waste,ktoe,,,,,,,,,,,,,,,,,,,,13,9,14,46,61,66,69,67,113,145,145,147,143,148